,model_run,model_error,timestep,runtime_yr,computational_time,ET,K_d,K_n,P,S,S_init,St,T,U,average_rch,day,downstream_length,dt,dx,final_topography_file,fixed_upstream_length,hour,infiltration_capacity,init_z,initial_relief,initial_topography_file,k_f,k_w,kyr,m,max_dt,max_rel_dz,min_abs_dz,min_rel_dz,n,n_initial_topo_segments,omega,phi,precip_return_time,precipitation_duration,recalculate_slope,relief_input_file,save_final_topography,save_initial_topography,specific_yield,total_runtime,upstream_aspect_ratio,upstream_length,use_relief_from_file,variable_dt,width,year,time_yr,n_streams,stream_density_str_per_km,erosion_rate_m_per_yr,incision_rate_m_per_yr,avg_watertable_depth_m,ratio_overland_flow_baseflow,ratio_overland_and_baseflow_erosion
22,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0012000000000000001,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,7.0,0.35,8.917043548533658e-06,0.0010846682207809526,9.78040448025724,0.00022925636566242092,4.610129639515574e-08
23,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0023,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,5.0,0.25,1.2772151183881473e-05,0.002154111674847777,19.566220633553325,8.375096260221085e-05,7.5652468685755e-09
24,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0034,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,4.0,0.2,1.5467923116503084e-05,0.0032349993317737817,28.702496079766075,4.510255377278106e-05,2.8079639412274827e-09
25,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0045000000000000005,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,3.0,0.15,1.6068085183121268e-05,0.004337174802213708,36.81074924230861,2.5299960271646145e-05,9.484923536527655e-10
26,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.005600000000000001,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,3.0,0.15,1.9652924495435122e-05,0.005418818665363702,46.2249972486378,2.0405964829060042e-05,6.937090220135322e-10
27,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0067,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,2.0,0.1,1.602369712719549e-05,0.006510144780552044,52.96740431034795,1.1256917375847425e-05,2.321662385739384e-10
28,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0078000000000000005,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,2.0,0.1,1.8163957672704324e-05,0.007610389511537882,63.82314581202262,9.6835677762038e-06,1.7491515482844176e-10
29,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0089,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,2.0,0.1,2.0487942415643728e-05,0.0087122356522032,72.4272206831828,8.512694668478425e-06,1.508325527901274e-10
30,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.01,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,2.0,0.1,2.260978560118747e-05,0.009757425798620014,85.80901652777571,7.602288332025544e-06,1.1296057909487492e-10
31,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.0001,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,98.0,4.8999999999999995,2.041862386869937e-05,0.00021137762683974502,1.4370422130213496,0.016074147001825228,7.278297422156319e-05
