,model_run,model_error,timestep,runtime_yr,computational_time,ET,K_d,K_n,P,S,S_init,St,T,average_rch,day,downstream_length,dt,dx,fixed_upstream_length,hour,infiltration_capacity,init_z,initial_relief,k_f,k_w,kyr,m,max_dt,max_rel_dz,min_abs_dz,min_rel_dz,n,n_initial_topo_segments,omega,phi,precip_return_time,precipitation_duration,recalculate_slope,relief_file,specific_yield,total_runtime,upstream_aspect_ratio,upstream_length,use_relief_from_file,variable_dt,width,year,time_yr,n_streams,stream_density_str_per_km,erosion_rate_m_per_yr,incision_rate_m_per_yr,avg_watertable_depth_m,ratio_overland_flow_baseflow,ratio_overland_and_baseflow_erosion
20,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,11.0,1.1,2.1628741441555283e-06,3.744973510665133e-05,2.144349164543917,0.006599257552022918,0.00027609330093347897
21,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.0031622776601683794,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,5.0,0.5,1.5470893882260856e-06,5.770932083214432e-05,3.297208242017353,0.0028868494056332058,0.00010581889220830503
22,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.01,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,2.0,0.2,4.900919690526215e-07,4.430868272259427e-05,3.5231493069738415,0.0023604134120622363,4.2910102368767266e-05
23,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.03162277660168379,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,1.0,0.1,1.3043260222077518e-08,1.1989847994022656e-06,0.36651675139800616,581110.3734316138,165143257.1138604
24,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.1,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,1.0,0.1,1.3043260126617211e-08,1.1989847833523586e-06,0.3665167520463533,581110.3729500801,165143256.63373023
25,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,1.0,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,6.0,0.6,1.0765083207672577e-05,0.0002453417465317921,20.744294066993614,0.0005876970377176677,3.693387330725313e-07
26,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,1.4,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,6.0,0.6,9.304457641012862e-06,0.00022204337800508912,18.20401578553035,0.0006161108858254311,1.3596047406326162e-06
27,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,1.8,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,6.0,0.6,5.3107154807116755e-06,0.00013039578569791046,9.145513118088726,0.0010289122569407043,6.803815948691057e-06
28,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.2,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,16.0,1.6,1.4161280223938084e-06,1.9616408514018714e-05,1.0250806315224745,0.019973991460405353,0.0018420378570340472
29,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.6,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,45.0,4.5,2.3242029505479382e-07,1.4273044374723883e-06,0.09866514661560688,1.0100996006101748,2.2082748692919445
30,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.15,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,11.0,1.1,2.164637111021163e-06,3.763644972203155e-05,2.137847400376822,0.008693270790827582,0.0004909769828127688
31,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.3,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,11.0,1.1,2.166488577604894e-06,3.734609925393841e-05,2.140865228674853,0.004497356660947725,0.00012351814659557824
32,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.4,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,11.0,1.1,2.169212540636243e-06,3.7364969938462647e-05,2.137647707865777,0.0034495559061012266,7.051894405135513e-05
33,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.5,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,11.0,1.1,2.1706315488007126e-06,3.735172251236835e-05,2.137809110067264,0.002824772257226056,4.611851604527491e-05
